name,mean,std,skew,2nd,16th,50th,84th,97th,MAD
dnu,1.2307977487288047,0.0001718508656317872,0.042006356006077356,1.2304615001059946,1.2306252231326558,1.2307987334811084,1.2309695376663876,1.231142947363855,0.00016886776898471839
numax,2.346290970806847,0.0012766425341057838,0.031487286394858524,2.3437120421038586,2.3449603481664894,2.346301278334302,2.347521655067482,2.3486870116032494,0.001310622383924063
eps,1.332808120810244,0.005179799947085756,-0.039521055003495745,1.3224102183642445,1.3277559960375633,1.3328327504404265,1.3378806751179044,1.3428486240105206,0.005197825199242566
d02,0.347727127837418,0.00233306194324483,-0.14368600144783122,0.3429019735872622,0.3455460654929573,0.34768425354795635,0.3499427847071403,0.35235349358453716,0.002257285146563329
alpha,-2.1623330249696893,0.022078784903876172,-0.1593696789241216,-2.2088142325411617,-2.185229029027337,-2.161765233109255,-2.141400038320716,-2.115682248269202,0.02222694086504531
env_height,1.438683053404004,0.04737312472930443,0.22715997804466817,1.3643262971818835,1.3869541656534055,1.4365559101629242,1.4902730972846616,1.5285103142145857,0.055716470364104216
env_width,1.306992173762613,0.011321984429288471,-0.24769587797222814,1.2822934821304646,1.2956566247426728,1.307854075620215,1.317922265410536,1.327754432817076,0.011387033833117871
mode_width,-0.6433031405326401,0.03123798215795521,-0.28369281637049265,-0.6998720520209838,-0.6787026107691303,-0.6447375814094484,-0.6109010148787839,-0.5999320938629578,0.0444386529259702
teff,3.7008130658671115,0.0036615635537096567,-0.7762681370032727,3.691466007197272,3.697833257623319,3.7014031862266297,3.704003862022384,3.7076701914032224,0.0027932023537164193
bp_rp,1.2349301986665664,0.04683109763390943,-0.10263056149580004,1.1477884240892917,1.1917404756699779,1.2325023994404118,1.28278253676511,1.3305660258512737,0.04116076236488342
