ID,dnu,dnu_err,numax,numax_err,teff,teff_err,bp_rp,bp_rp_err
KIC1433593,6.241,0.013,69.14,0.59,4956,100,1.3270245,0.05
KIC1433730,4.085,0.019,40.37,0.54,4767,100,1.4249544,0.05
KIC2018392,3.795,0.013,33.92,0.55,4908,100,1.4171124,0.05
KIC2140446,5.673,0.012,57.6,0.56,4665,100,1.4466972,0.05
KIC2307683,4.309,0.012,39.95,0.51,4799,100,1.3692789,0.05
KIC2435987,4.203,0.014,38.54,0.6,4448,80,1.6088829,0.05
KIC2436097,4.514,0.012,42.74,0.61,4550,143,1.6048393,0.05
KIC2436209,5.724,0.017,57.88,0.57,4500,80,1.5238171,0.05
KIC2436332,3.396,0.013,28.45,0.57,4196,124,1.6349087,0.05
