,Unnamed: 0,dnu,numax,eps,d02,alpha,env_height,env_width,mode_width,teff,bp_rp,rank
8,0,0.6130786233506428,1.5664577223873162,0.8899410010739651,-0.20309685104307795,-1.8286570096985943,0.4005254841535443,0.9004225166333735,-0.830349253045997,3.6765599081608102,1.3225454516146633,6.578298529764389
3,0,0.8719020252955768,1.971060432955208,1.0242859235604718,-0.08324832521427854,-2.069505811890697,0.7490852063794351,1.1409583736618902,-0.6201505961244351,3.703230745778765,1.167094544950755,5.474600977407872
9,0,0.5692743588643251,1.4716381003393897,0.8938823624565949,-0.2038651304346662,-1.6780226726583023,0.6618638068748678,0.7107267122548042,-1.0194645231254975,3.693397336818484,1.2532084818426976,5.346116554181662
2,0,0.5598295772055764,1.4228440359325882,0.8315813295803209,-0.2429397606195741,-1.4653825706154664,0.3087696137754809,0.6894123897912907,-0.8519079684643092,3.691584800647372,1.3305764015410433,5.136236797379447
0,0,0.7973129488597154,1.8490612561787425,1.0424217041824366,-0.08313787008069434,-2.0131064970665733,1.1174609263312152,0.9492659670310408,-0.951868540527026,3.692061639226517,1.3193249884216771,5.0793003912260115
1,0,0.6134726373208188,1.6216877860298111,0.9321014009213644,-0.29354852449087193,-1.88614994159954,0.8911959160679459,0.7969766247327501,-1.0051611251950308,3.677315582376732,1.4135562562967057,4.93648882378948
6,0,0.5774809229489458,1.5353776133002748,0.9641349122154717,-0.3040686402377725,-1.7591033821204909,0.8296573969808523,0.7616965362290942,-0.9958588391278732,3.684537892863313,1.3842442207996073,4.921852008509422
7,0,0.7548786093228488,1.7651273867993922,1.0554292683138204,-0.12870379801507315,-1.8325399825901416,1.2062314605148567,0.8746597978140999,-0.9898782637926112,3.671591594950195,1.4314424280776867,4.815123430105001
4,0,0.5740745807366059,1.4723242551844042,0.7592425787691949,-0.22072831221545708,-2.064063190184025,0.7555296781283599,0.5895921083105796,-1.1392179664767874,3.67906651646873,1.4047833675353485,4.574054582778861
5,0,1.0206719466255525,2.109885554379849,1.2089412641813515,0.11420627064157175,-2.048912203781048,1.269683902819783,1.2027912232329536,-0.8283012136735836,3.7047890758028337,1.2642484261940086,4.298053664472534
